<<<<<<< HEAD
,Country,Happiness_Rank,Year,Happiness_Score,Economy(GDP_per_Capita),Family,Health(Life_Expectancy),Freedom,Trust(Government_Corruption),Generosity
34,Saudi Arabia,35,2015,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706
35,Spain,36,2015,6.329,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002
36,Malta,37,2015,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752
37,Taiwan,38,2015,6.297999999999999,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376
38,Kuwait,39,2015,6.295,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228
39,Suriname,40,2015,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998
40,Trinidad and Tobago,41,2015,6.167999999999999,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844
41,El Salvador,42,2015,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692
42,Guatemala,43,2015,6.122999999999999,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489
43,Uzbekistan,44,2015,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837
44,Slovakia,45,2015,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893
45,Japan,46,2015,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705
46,South Korea,47,2015,5.984,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.07857,0.18557
47,Ecuador,48,2015,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998
48,Bahrain,49,2015,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362
49,Italy,50,2015,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002
50,Bolivia,51,2015,5.89,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536
51,Moldova,52,2015,5.888999999999999,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951
52,Paraguay,53,2015,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424
53,Kazakhstan,54,2015,5.855,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.08454,0.11827
54,Slovenia,55,2015,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328
55,Lithuania,56,2015,5.832999999999999,1.14723,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003
56,Nicaragua,57,2015,5.827999999999999,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815
57,Peru,58,2015,5.824,0.9001899999999999,0.97459,0.73017,0.41496000000000005,0.05989,0.14982
58,Belarus,59,2015,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11045999999999999
59,Poland,60,2015,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002
60,Malaysia,61,2015,5.77,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10500999999999999,0.33075
61,Croatia,62,2015,5.7589999999999995,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995
62,Libya,63,2015,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295
63,Russia,64,2015,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199
64,Jamaica,65,2015,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123
65,North Cyprus,66,2015,5.695,1.2080600000000001,1.07008,0.92356,0.49027,0.1428,0.26169000000000003
66,Cyprus,67,2015,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004
67,Algeria,68,2015,5.605,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822
68,Kosovo,69,2015,5.5889999999999995,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831
69,Turkmenistan,70,2015,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979
70,Mauritius,71,2015,5.477,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744
71,Hong Kong,72,2015,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478
72,Estonia,73,2015,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868
73,Indonesia,74,2015,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535
74,Vietnam,75,2015,5.36,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686
75,Turkey,76,2015,5.332000000000001,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253
76,Kyrgyzstan,77,2015,5.2860000000000005,0.47428000000000003,1.15115,0.65088,0.43477,0.042319999999999997,0.3003
77,Nigeria,78,2015,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233
78,Bhutan,79,2015,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998
79,Azerbaijan,80,2015,5.212000000000001,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799
80,Pakistan,81,2015,5.194,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671
81,Jordan,82,2015,5.192,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999
82,Montenegro,82,2015,5.192,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.14296,0.1614
83,China,84,2015,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185
84,Zambia,85,2015,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591
85,Romania,86,2015,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748
86,Serbia,87,2015,5.122999999999999,0.92053,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998
87,Portugal,88,2015,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719
88,Latvia,89,2015,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998
89,Philippines,90,2015,5.073,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991
90,Somaliland region,91,2015,5.0569999999999995,0.18847,0.95152,0.43873,0.46581999999999996,0.39928,0.5031800000000001
91,Morocco,92,2015,5.013,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.08546000000000001,0.07172
92,Macedonia,93,2015,5.007,0.91851,1.00232,0.73545,0.33457,0.053270000000000005,0.22359
93,Mozambique,94,2015,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269
94,Albania,95,2015,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272
95,Bosnia and Herzegovina,96,2015,4.949,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002
96,Lesotho,97,2015,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388
97,Dominican Republic,98,2015,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684
98,Laos,99,2015,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.24249,0.42191999999999996
99,Mongolia,100,2015,4.874,0.82819,1.3006,0.60268,0.43626000000000004,0.026660000000000003,0.3323
100,Swaziland,101,2015,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259
101,Greece,102,2015,4.857,1.15406,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0
102,Lebanon,103,2015,4.8389999999999995,1.0256399999999999,0.80001,0.83947,0.33916,0.04582,0.21854
103,Hungary,104,2015,4.8,1.12094,1.20215,0.75905,0.32111999999999996,0.02758,0.128
104,Honduras,105,2015,4.788,0.59532,0.9534799999999999,0.6951,0.40148,0.06825,0.23026999999999997
105,Tajikistan,106,2015,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974
106,Tunisia,107,2015,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431
107,Palestinian Territories,108,2015,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11250999999999999
108,Bangladesh,109,2015,4.694,0.39753,0.43106000000000005,0.60164,0.4082,0.12569,0.21222
109,Iran,110,2015,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.058629999999999995,0.38086
110,Ukraine,111,2015,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275
111,Iraq,112,2015,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922000000000002
112,South Africa,113,2015,4.6419999999999995,0.9204899999999999,1.18468,0.27688,0.33207,0.08884,0.11972999999999999
113,Ghana,114,2015,4.633,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.04355,0.23087
114,Zimbabwe,115,2015,4.61,0.271,1.0327600000000001,0.33475,0.25861,0.08079,0.18987
115,Liberia,116,2015,4.571000000000001,0.0712,0.78968,0.34201,0.28531,0.06232000000000001,0.24361999999999998
116,India,117,2015,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475
117,Sudan,118,2015,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062
118,Haiti,119,2015,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187
119,Congo (Kinshasa),120,2015,4.5169999999999995,0.0,1.0012,0.09806000000000001,0.22605,0.07625,0.24834
120,Nepal,121,2015,4.513999999999999,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997
121,Ethiopia,122,2015,4.512,0.19072999999999998,0.60406,0.44055,0.4345,0.15048,0.24325
122,Sierra Leone,123,2015,4.507,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.08786000000000001,0.21488000000000002
123,Mauritania,124,2015,4.436,0.45407,0.86908,0.35874,0.24231999999999998,0.17461,0.21899999999999997
124,Kenya,125,2015,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542
125,Djibouti,126,2015,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093
126,Armenia,127,2015,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855
127,Botswana,128,2015,4.332,0.99355,1.10464,0.047760000000000004,0.49495,0.12474,0.10461
128,Myanmar,129,2015,4.3069999999999995,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.19034,0.79588
129,Georgia,130,2015,4.297,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.38331,0.055470000000000005
130,Malawi,131,2015,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128
131,Sri Lanka,132,2015,4.271,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828000000000003
132,Cameroon,133,2015,4.252,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003
133,Bulgaria,134,2015,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921
134,Egypt,135,2015,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291
135,Yemen,136,2015,4.077,0.5464899999999999,0.68093,0.40064,0.35570999999999997,0.07854,0.09131
136,Angola,137,2015,4.033,0.75778,0.8604,0.16683,0.10384000000000002,0.07122,0.12344000000000001
137,Mali,138,2015,3.995,0.26074,1.03526,0.20583,0.38856999999999997,0.12352,0.18798
138,Congo (Brazzaville),139,2015,3.989,0.67866,0.6629,0.31051,0.41466000000000003,0.11685999999999999,0.12387999999999999
139,Comoros,140,2015,3.9560000000000004,0.23906,0.79273,0.36315,0.22916999999999998,0.19899999999999998,0.17440999999999998
140,Uganda,141,2015,3.931,0.21101999999999999,1.13299,0.33860999999999997,0.45726999999999995,0.07267,0.29066
141,Senegal,142,2015,3.904,0.36498,0.97619,0.4354,0.36772,0.10712999999999999,0.20843000000000003
142,Gabon,143,2015,3.8960000000000004,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.06822
143,Niger,144,2015,3.845,0.0694,0.77265,0.29707,0.47691999999999996,0.15639,0.19387000000000001
144,Cambodia,145,2015,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359
145,Tanzania,146,2015,3.781,0.2852,1.00268,0.38215,0.32878,0.05747000000000001,0.34376999999999996
146,Madagascar,147,2015,3.681,0.20824,0.66801,0.46721,0.19184,0.08123999999999999,0.21333000000000002
147,Central African Republic,148,2015,3.678,0.0785,0.0,0.06699,0.48878999999999995,0.08288999999999999,0.23835
148,Chad,149,2015,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386
149,Guinea,150,2015,3.656,0.17417,0.46475,0.24009,0.37725,0.12139000000000001,0.28657
150,Ivory Coast,151,2015,3.655,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,0.20165
151,Burkina Faso,152,2015,3.5869999999999997,0.25811999999999996,0.85188,0.27125,0.39493,0.12832000000000002,0.21746999999999997
152,Afghanistan,153,2015,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651
153,Rwanda,154,2015,3.465,0.22208000000000003,0.7737,0.42863999999999997,0.59201,0.55191,0.22628
154,Benin,155,2015,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826
155,Syria,156,2015,3.0060000000000002,0.6632,0.47489,0.7219300000000001,0.15684,0.18905999999999998,0.47179
156,Burundi,157,2015,2.905,0.0153,0.41586999999999996,0.22396,0.1185,0.10062,0.19727
157,Togo,158,2015,2.839,0.20868,0.13995,0.28443,0.36453,0.10730999999999999,0.16680999999999999
158,Denmark,1,2016,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171
159,Switzerland,2,2016,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083
160,Iceland,3,2016,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004
161,Norway,4,2016,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895
162,Finland,5,2016,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492
163,Canada,6,2016,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996
164,Netherlands,7,2016,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416
165,New Zealand,8,2016,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006
166,Australia,9,2016,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407
167,Sweden,10,2016,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254
168,Israel,11,2016,7.267,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288
169,Austria,12,2016,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865
170,United States,13,2016,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997
171,Costa Rica,14,2016,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553
172,Puerto Rico,15,2016,7.039,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202
173,Germany,16,2016,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996
174,Brazil,17,2016,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998
175,Belgium,18,2016,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424
176,Ireland,19,2016,6.907,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003
177,Luxembourg,20,2016,6.871,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571
178,Mexico,21,2016,6.778,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735
179,Singapore,22,2016,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706
180,United Kingdom,23,2016,6.725,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156
181,Chile,24,2016,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595
182,Panama,25,2016,6.7010000000000005,1.18306,0.9891200000000001,0.70835,0.48927,0.08423,0.2418
183,Argentina,26,2016,6.65,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002
184,Czech Republic,27,2016,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929
185,United Arab Emirates,28,2016,6.5729999999999995,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591
186,Uruguay,29,2016,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056
187,Malta,30,2016,6.4879999999999995,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237
188,Colombia,31,2016,6.481,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998
189,France,32,2016,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216
190,Thailand,33,2016,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696
191,Saudi Arabia,34,2016,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457
192,Taiwan,34,2016,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495
193,Qatar,36,2016,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388
194,Spain,37,2016,6.361000000000001,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665
195,Algeria,38,2016,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044
196,Guatemala,39,2016,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808
197,Suriname,40,2016,6.269,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.12692,0.16665
198,Kuwait,41,2016,6.239,1.61714,0.8775799999999999,0.63569,0.43166000000000004,0.23669,0.15965
199,Bahrain,42,2016,6.218,1.44024,0.9439700000000001,0.65696,0.47375,0.25772,0.17147
200,Trinidad and Tobago,43,2016,6.167999999999999,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935
201,Venezuela,44,2016,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425
202,Slovakia,45,2016,6.077999999999999,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837
203,El Salvador,46,2016,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877
204,Malaysia,47,2016,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41473999999999994
205,Nicaragua,48,2016,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46581999999999996,0.16292,0.29773
206,Uzbekistan,49,2016,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326
207,Italy,50,2016,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002
208,Ecuador,51,2016,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074
209,Belize,52,2016,5.956,0.87616,0.68655,0.45569,0.51231,0.10770999999999999,0.23684000000000002
210,Japan,53,2016,5.921,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224
211,Kazakhstan,54,2016,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011
212,Moldova,55,2016,5.897,0.69177,0.8313200000000001,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997
213,Russia,56,2016,5.856,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.027360000000000002
214,Poland,57,2016,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443
215,South Korea,57,2016,5.835,1.35948,0.7219399999999999,0.88645,0.25168,0.07716,0.18824000000000002
216,Bolivia,59,2016,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.07746,0.21698
217,Lithuania,60,2016,5.813,1.2692,1.0641100000000001,0.64674,0.18929,0.0182,0.02025
218,Belarus,61,2016,5.8020000000000005,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942000000000002
219,North Cyprus,62,2016,5.771,1.31141,0.81826,0.8414200000000001,0.43596,0.16577999999999998,0.26322
220,Slovenia,63,2016,5.768,1.2994700000000001,1.05613,0.79151,0.53164,0.03635,0.25738
221,Peru,64,2016,5.742999999999999,0.9960200000000001,0.81255,0.6299399999999999,0.37501999999999996,0.05292,0.14527
222,Turkmenistan,65,2016,5.6579999999999995,1.08017,1.03817,0.44006000000000006,0.37408,0.28467,0.22566999999999998
223,Mauritius,66,2016,5.648,1.14372,0.75695,0.66189,0.46145,0.05202999999999999,0.36951
224,Libya,67,2016,5.615,1.0668799999999998,0.95076,0.52304,0.40671999999999997,0.10339000000000001,0.17087
225,Latvia,68,2016,5.56,1.2178799999999999,0.95025,0.63952,0.27996,0.0889,0.17445
226,Cyprus,69,2016,5.546,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906
227,Paraguay,70,2016,5.537999999999999,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296
228,Romania,71,2016,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889
229,Estonia,72,2016,5.517,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.18519000000000002,0.08423
230,Jamaica,73,2016,5.51,0.89333,0.96372,0.5946899999999999,0.43596999999999997,0.04294,0.22245
231,Croatia,74,2016,5.4879999999999995,1.18649,0.6080899999999999,0.70524,0.23906999999999998,0.04002,0.18434
232,Hong Kong,75,2016,5.457999999999999,1.5107,0.87021,0.9527700000000001,0.48078999999999994,0.31647,0.40097
233,Somalia,76,2016,5.44,0.0,0.33613000000000004,0.11465999999999998,0.5677800000000001,0.3118,0.27225
234,Kosovo,77,2016,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992
235,Turkey,78,2016,5.388999999999999,1.1649200000000002,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707
236,Indonesia,79,2016,5.314,0.95104,0.87625,0.49373999999999996,0.39237,0.00322,0.56521
237,Jordan,80,2016,5.303,0.9967299999999999,0.86216,0.60712,0.36023,0.13297,0.14262
238,Azerbaijan,81,2016,5.291,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564
239,Philippines,82,2016,5.279,0.81217,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002
240,China,83,2016,5.245,1.0278,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995
241,Bhutan,84,2016,5.196000000000001,0.8527,0.9083600000000001,0.49759,0.46074,0.1616,0.48546000000000006
242,Kyrgyzstan,85,2016,5.185,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.047619999999999996,0.38432
243,Serbia,86,2016,5.1770000000000005,1.03437,0.81329,0.6458,0.15718,0.04339,0.20736999999999997
244,Bosnia and Herzegovina,87,2016,5.162999999999999,0.9338299999999999,0.64367,0.7076600000000001,0.09511,0.0,0.29889
245,Montenegro,88,2016,5.1610000000000005,1.07838,0.74173,0.6353300000000001,0.15111,0.12721,0.17190999999999998
246,Dominican Republic,89,2016,5.155,1.02787,0.9949600000000001,0.5766899999999999,0.52259,0.12372000000000001,0.21286
247,Morocco,90,2016,5.151,0.8405799999999999,0.38595,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004
248,Hungary,91,2016,5.145,1.24142,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099
249,Pakistan,92,2016,5.132000000000001,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185
250,Lebanon,93,2016,5.129,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003
251,Portugal,94,2016,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999
252,Macedonia,95,2016,5.121,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997
253,Vietnam,96,2016,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075
254,Somaliland Region,97,2016,5.0569999999999995,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479
